SiteID,Year,DOY,Season,Treatment,n_Replicates,R_avg_umol.m2.s,Resp_stdev,Moist_avg_cm3.cm.3,Moist_stdev,Stemp_Avg_C,Stemp_SD_C,WarmingStart,EcosystemType,sand_pct,silt_pct,clay_pct
17,2009,105.5,Shoulder,C,3,1.191964345,0.345959287,0.291589621,0.037307697,0.8312,0.678076513,2008,BorealForest,60.9,30.5,8.6
17,2009,105.5,Shoulder,W,2,1.792752143,0.235450205,0.290269666,0.020969844,4.12265,0.970291925,2008,BorealForest,60.9,30.5,8.6
17,2009,105.5,Shoulder,W1,4,2.045993758,0.299979543,0.275892633,0.035104089,6.399291667,0.938804644,2008,BorealForest,60.9,30.5,8.6
17,2009,106.5,Shoulder,C,4,0.945612718,0.381656947,0.217560594,0.053849091,0.22684375,0.350548668,2008,BorealForest,60.9,30.5,8.6
17,2009,106.5,Shoulder,W,4,1.559937786,0.414703254,0.267931652,0.024976564,2.3524375,1.699493998,2008,BorealForest,60.9,30.5,8.6
17,2009,106.5,Shoulder,W1,2,1.839751977,0.334700361,0.270255285,0.021077867,4.2586875,0.512740805,2008,BorealForest,60.9,30.5,8.6
17,2009,126.5,Growing,C,6,3.174166667,0.815013974,0.251344262,0.019376058,9.117666667,1.12848512,2008,BorealForest,60.9,30.5,8.6
17,2009,126.5,Growing,W,6,3.74048811,0.758675119,0.242369263,0.020150878,11.92625,1.038169964,2008,BorealForest,60.9,30.5,8.6
17,2009,126.5,Growing,W1,6,4.219267528,0.867359348,0.24588114,0.017281281,13.48375,1.183032914,2008,BorealForest,60.9,30.5,8.6
17,2009,147.5,Growing,C,6,3.262417389,0.428463696,0.242109588,0.009446534,9.646666667,0.465265157,2008,BorealForest,60.9,30.5,8.6
17,2009,147.5,Growing,W,6,3.461944444,0.185593393,0.234098271,0.023169452,11.66458333,0.785358862,2008,BorealForest,60.9,30.5,8.6
17,2009,147.5,Growing,W1,6,3.859727006,0.651531077,0.214292096,0.029617842,13.24875,0.310848637,2008,BorealForest,60.9,30.5,8.6
17,2009,155.5,Growing,C,4,4.394166667,0.99405874,0.224921327,0.011274757,11.7903125,0.706296366,2008,BorealForest,60.9,30.5,8.6
17,2009,155.5,Growing,W,4,4.587083333,0.643672011,0.208948276,0.026289949,13.48125,0.697762794,2008,BorealForest,60.9,30.5,8.6
17,2009,155.5,Growing,W1,4,5.13375,1.406125735,0.188638333,0.038993365,14.6005,1.43147686,2008,BorealForest,60.9,30.5,8.6
17,2009,176.5,Growing,C,6,6.898333333,0.908736608,0.202301345,0.009017801,18.41125,1.705641375,2008,BorealForest,60.9,30.5,8.6
17,2009,176.5,Growing,W,6,6.843888889,1.655282341,0.166288522,0.035791083,19.68229167,0.8367909,2008,BorealForest,60.9,30.5,8.6
17,2009,176.5,Growing,W1,6,6.545,2.002960587,0.145304412,0.028948414,21.283125,1.118024975,2008,BorealForest,60.9,30.5,8.6
